,rank,name,link,location,points,Total students,International students,Total faculty staff,International Students Ratio,Citations per Faculty,Employer Reputation,Employment Outcomes,Overall,International Research Network,International Faculty Ratio,Academic Reputation,Faculty Student Ratio
432,433,Université Laval,https://www.topuniversities.com/universities/universite-laval,"Québec, Canada",26.9,24675.0,3992.0,2302,33.5,27.6,17.8,17,26.9,84.6,67.4,20,32
433,=434,Far Eastern Federal University,https://www.topuniversities.com/universities/far-eastern-federal-university,"Vladivostok, Russia",26.8,13931.0,3297.0,2467,63.4,1.9,3.4,11.6,26.8,40.5,15.4,8.4,93.2
434,=434,Université de Strasbourg,https://www.topuniversities.com/universities/universite-de-strasbourg,"Strasbourg, France",26.8,52972.0,9111.0,2544,37.4,24.9,6.8,11.2,26.8,86.6,37.3,40.7,5.1
435,=436,National Taipei University of Technology,https://www.topuniversities.com/universities/national-taipei-university-technology,"Taipei City, Taiwan",26.6,7919.0,1082.0,712,24.6,32.2,58.2,25.1,26.6,24.3,23.2,15.2,28.9
436,=436,Università Vita-Salute San Raffaele,https://www.topuniversities.com/universities/universita-vita-salute-san-raffaele,"Milan, Italy",26.6,2642.0,127.0,654,4.9,22.7,1.4,9.5,26.6,35.7,8.7,3,99.7
437,=438,Oxford Brookes University,https://www.topuniversities.com/universities/oxford-brookes-university,"Oxford, United Kingdom",26.5,14975.0,3890.0,1022,71.9,9.2,41.4,32.7,26.5,52.1,67.3,27,13
438,=438,University of Coimbra,https://www.topuniversities.com/universities/university-coimbra,"Coimbra, Portugal",26.5,22937.0,3608.0,1627,33.7,38.6,13.8,30.9,26.5,86.3,12.3,30.1,14.5
439,=438,Wake Forest University,https://www.topuniversities.com/universities/wake-forest-university,"Winston-Salem, United States",26.5,8296.0,785.0,2269,12.9,12.6,7.3,43,26.5,50.8,6,5.4,100
440,=441,Universidade Federal de São Paulo,https://www.topuniversities.com/universities/universidade-federal-de-sao-paulo,"São Paulo, Brazil",26.4,14415.0,139.0,2727,1.5,6.6,4.8,3.1,26.4,45.3,5.6,11.3,98.2
441,=441,Universität des Saarlandes,https://www.topuniversities.com/universities/universitat-des-saarlandes,"Saarbrücken, Germany",26.4,16241.0,2939.0,2823,41,9,7.5,23.6,26.4,80.3,5.5,10.2,86.8
442,=443,Amirkabir University of Technology,https://www.topuniversities.com/universities/amirkabir-university-technology,"Tehran, Iran",26.3,10673.0,235.0,504,2.4,99.6,23.4,39.9,26.3,62.6,15.7,5,4.9
443,=443,Auezov South Kazakhstan University (SKU),https://www.topuniversities.com/universities/auezov-south-kazakhstan-university-sku,"Shymkent, Kazakhstan",26.3,18760.0,2369.0,2993,21.3,1,13.7,10.8,26.3,2.7,15,11.8,90.5
444,=443,Beihang University (former BUAA),https://www.topuniversities.com/universities/beihang-university-former-buaa,"Beijing, China (Mainland)",26.3,0.0,1575.0,0,5.5,67.8,4.4,13.8,26.3,52.1,8.3,13.1,31
445,=443,Illinois Institute of Technology,https://www.topuniversities.com/universities/illinois-institute-technology,"Chicago, United States",26.3,5437.0,1783.0,387,95,52.9,8.2,22.8,26.3,31.3,23.7,14.8,14.7
446,=443,SOAS University of London,https://www.topuniversities.com/universities/soas-university-london,"London, United Kingdom",26.3,4864.0,2184.0,373,99.7,16.4,10.2,68.6,26.3,17.9,100,17.9,23.8
447,=443,Washington State University,https://www.topuniversities.com/universities/washington-state-university,"Pullman, United States",26.3,26520.0,1569.0,1916,6.4,36.2,24.4,13.3,26.3,78.7,57.4,25.5,15.3
448,=449,IPB University (aka Bogor Agricultural University),https://www.topuniversities.com/universities/ipb-university-aka-bogor-agricultural-university,"Bogor, Indonesia",26.2,23048.0,745.0,3246,3.3,1.7,28.5,11.6,26.2,21.6,54.6,19.6,60.7
449,=449,Hasselt University,https://www.topuniversities.com/universities/hasselt-university,"Diepenbeek, Belgium",26.2,5683.0,788.0,799,25.3,16.6,3.8,11.7,26.2,74.1,68.6,4.7,78.8
450,=449,Umm Al-Qura University,https://www.topuniversities.com/universities/umm-al-qura-university,"Makkah, Saudi Arabia",26.2,30207.0,3608.0,3627,19.3,1.9,10.5,3.9,26.2,35.1,100,16.9,59.8
451,=449,Universidad de Montevideo (UM),https://www.topuniversities.com/universities/universidad-de-montevideo-um,"Montevideo, Uruguay",26.2,2097.0,76.0,295,3.6,1.1,19.8,87.6,26.2,1.8,26.1,16.6,78.9
452,453,"University of California, Riverside",https://www.topuniversities.com/universities/university-california-riverside,"Riverside, United States",26.1,25735.0,1994.0,1471,9.4,61.8,8.5,11.6,26.1,76,72,17.8,8
453,=454,Stellenbosch University,https://www.topuniversities.com/universities/stellenbosch-university,"Stellenbosch, South Africa",26,23745.0,3022.0,949,9.1,51.2,35.7,53.8,26,86.6,21.5,24.5,3.6
454,=454,University of Tromsø The Arctic University of Norway,https://www.topuniversities.com/universities/university-tromso-arctic-university-norway,"Tromsø, Norway",26,15746.0,1288.0,2107,8.5,9.3,3.9,22.9,26,77.1,71.2,12.4,73.2
455,456,York University,https://www.topuniversities.com/universities/york-university,"Toronto, Canada",25.9,43324.0,12687.0,1531,82.1,28.2,31.3,48.7,25.9,60.8,52,22.6,6.1
456,=457,Institut National des Sciences Appliquées de Lyon (INSA),https://www.topuniversities.com/universities/institut-national-des-sciences-appliquees-de-lyon-insa,"Lyon, France",25.7,6367.0,1795.0,632,79,32.3,31.7,28.2,25.7,81,29,7.5,37.8
457,=457,Sogang University,https://www.topuniversities.com/universities/sogang-university,"Seoul, South Korea",25.7,9388.0,1586.0,1161,36.2,6.3,44.5,30.3,25.7,13.8,9.8,18.1,51.6
458,=457,University of Trento,https://www.topuniversities.com/universities/university-trento,"Trento, Italy",25.7,13900.0,794.0,1132,6.1,46.6,9.4,7.2,25.7,85.8,31.8,24.6,18
459,460,University of Florence,https://www.topuniversities.com/universities/university-florence,"Florence, Italy",25.6,37287.0,4151.0,1803,17,47.4,6.3,12.4,25.6,90.4,10.3,32.5,5.2
460,=461,James Cook University,https://www.topuniversities.com/universities/james-cook-university,"Townsville, Australia",25.5,8228.0,861.0,819,19.5,63.3,10.2,7.6,25.5,79.6,55.7,13.9,11.9
461,=461,Rensselaer Polytechnic Institute,https://www.topuniversities.com/universities/rensselaer-polytechnic-institute,"Troy, United States",25.5,7427.0,1490.0,567,48.9,70.5,6.5,57.3,25.5,41,12.2,8.4,21
462,=461,Southeast University,https://www.topuniversities.com/universities/southeast-university,"Nanjing, China (Mainland)",25.5,37706.0,1460.0,3417,3.9,68.7,6,5.2,25.5,62.1,10.4,11.1,29.5
463,=461,Universidad de Belgrano,https://www.topuniversities.com/universities/universidad-de-belgrano,"Buenos Aires, Argentina",25.5,5126.0,800.0,810,28.4,1,17.4,6.5,25.5,,6.4,9.4,89.8
464,=465,"Essex, University of",https://www.topuniversities.com/universities/essex-university,"Colchester, United Kingdom",25.4,16133.0,6578.0,1082,98.3,28.1,8,12.8,25.4,71.8,99.7,16.2,12.3
465,=465,Universidad de Santiago de Chile (USACH),https://www.topuniversities.com/universities/universidad-de-santiago-de-chile-usach,"Santiago, Chile",25.4,22927.0,503.0,1334,2.4,4.9,58.1,4.4,25.4,46.6,7,41,8.3
466,=467,The National University of Science and Technology MISIS,https://www.topuniversities.com/universities/national-university-science-technology-misis,"Moscow, Russia",25.3,7250.0,1533.0,995,53.4,13.7,9.9,7.5,25.3,45.6,12.2,8.2,74.2
467,=467,Universidad de La Habana,https://www.topuniversities.com/universities/universidad-de-la-habana,"Havana, Cuba",25.3,13471.0,597.0,1871,4.5,1.6,25.5,55.6,25.3,25.6,1.9,20.3,69.4
468,=467,University of Alaska Fairbanks,https://www.topuniversities.com/universities/university-alaska-fairbanks,"Fairbanks, United States",25.3,3559.0,119.0,745,3.4,16.2,3.7,8.3,25.3,44.5,5.6,3.1,99.6
469,=467,University of Iowa,https://www.topuniversities.com/universities/university-iowa,"Iowa City, United States",25.3,26717.0,1488.0,2914,5.9,24.4,13.3,30.6,25.3,81.3,15.8,20.7,48.2
470,=471,Dublin City University,https://www.topuniversities.com/universities/dublin-city-university,"Dublin, Ireland",25.2,14164.0,1530.0,1311,16.2,16.4,32.4,50.3,25.2,73.5,76.4,19.1,31.3
471,=471,Tulane University,https://www.topuniversities.com/universities/tulane-university,"New Orleans, United States",25.2,12074.0,1030.0,1838,10.9,11.4,4.2,44.1,25.2,74.9,13.7,9.5,86.7
472,=473,University of Cyprus (UCY),https://www.topuniversities.com/universities/university-cyprus-ucy,"Nicosia, Cyprus",25.1,7085.0,1026.0,340,27.4,71.7,3.1,57.4,25.1,84.2,87.6,9,5.1
473,=473,University of Saskatchewan,https://www.topuniversities.com/universities/university-saskatchewan,"Saskatoon, Canada",25.1,16651.0,3476.0,1359,52.3,42.5,11.7,24.9,25.1,83.5,69.9,12,21.9
474,=475,Chang Gung University,https://www.topuniversities.com/universities/chang-gung-university,"Taoyuan City, Taiwan",25,6890.0,348.0,916,5.2,40.5,4.9,8.6,25,26.3,4.3,4.8,69.4
475,=475,University of Turin,https://www.topuniversities.com/universities/university-turin,"Turin, Italy",25,59522.0,3605.0,2310,6.6,39.8,6.5,23,25,86.5,5.2,37.5,3.3
476,=477,Imam Abdulrahman Bin Faisal University (IAU),https://www.topuniversities.com/universities/imam-abdulrahman-bin-faisal-university-iau,"Dammam, Saudi Arabia",24.9,23781.0,2625.0,3824,9.2,2,3.7,4.5,24.9,49.6,97.6,5.8,81.8
477,=477,Koç University,https://www.topuniversities.com/universities/koc-university,"Istanbul, Turkey",24.9,6341.0,531.0,521,10.6,23.4,36.3,24,24.9,42.6,30.3,20.4,31.2
478,=477,Martin-Luther-Universität Halle-Wittenberg,https://www.topuniversities.com/universities/martin-luther-universitat-halle-wittenberg,"Halle, Germany",24.9,19913.0,1682.0,2942,10.7,5.7,4.5,17.2,24.9,83.6,,14.6,83.9
479,=477,UNESP,https://www.topuniversities.com/universities/unesp,"Sao Paulo, Brazil",24.9,42008.0,892.0,2699,2.3,16.8,23.5,2.8,24.9,74.8,6.1,37,19.1
480,=481,Bond University,https://www.topuniversities.com/universities/bond-university,"Gold Coast, Australia",24.8,3069.0,1302.0,328,98.9,16.4,6.3,31.1,24.8,15.3,98.3,4.4,45.8
481,=481,Dongguk University,https://www.topuniversities.com/universities/dongguk-university,"Seoul, South Korea",24.8,17578.0,2235.0,2657,21.6,7.6,9.9,7.6,24.8,41.8,10.2,8.5,85.8
482,=481,Iowa State University,https://www.topuniversities.com/universities/iowa-state-university,"Ames, United States",24.8,29458.0,2421.0,1558,10.3,65.8,13.9,31,24.8,85.1,6,19.4,7.9
483,=481,Kazakh National Agrarian University KazNAU,https://www.topuniversities.com/universities/kazakh-national-agrarian-university-kaznau,"Almaty, Kazakhstan",24.8,8192.0,994.0,1216,19.9,1.1,13.8,15.8,24.8,5.8,29.2,14.7,73.5
484,=481,Universiti Utara Malaysia (UUM),https://www.topuniversities.com/universities/universiti-utara-malaysia-uum,"Sintok, Malaysia",24.8,12501.0,3401.0,1298,76,6.1,23.3,6.5,24.8,23.7,20.3,19.4,42.6
485,=486,Auckland University of Technology (AUT),https://www.topuniversities.com/universities/auckland-university-technology-aut,"Auckland, New Zealand",24.7,18545.0,8926.0,1133,99.9,17.9,14.6,10.4,24.7,53.9,100,19.1,9.5
486,=486,University of Klagenfurt,https://www.topuniversities.com/universities/university-klagenfurt,"Klagenfurt, Austria",24.7,3459.0,1055.0,415,84.8,11.4,2.9,49.7,24.7,43.4,95.2,4.3,56.6
487,=488,Ajou University,https://www.topuniversities.com/universities/ajou-university,"Suwon, South Korea",24.6,9113.0,1001.0,1403,16.6,13.5,12.1,8.1,24.6,26.5,7.4,13.3,70
488,=488,Universidad Politécnica de Madrid (UPM),https://www.topuniversities.com/universities/universidad-politecnica-de-madrid,"Madrid, Spain",24.6,32848.0,4734.0,2477,27.1,10.8,50.1,44.7,24.6,77.8,3.2,30.8,17.4
489,=490,Aix-Marseille University,https://www.topuniversities.com/universities/aix-marseille-university,"Marseille, France",24.5,67724.0,8651.0,4069,21.8,28.8,3.5,9.9,24.5,98.1,20,36,9.1
490,=490,Ben-Gurion University of The Negev,https://www.topuniversities.com/universities/ben-gurion-university-negev,"Be'er Sheva, Israel",24.5,15630.0,1755.0,1060,17.3,53,11.7,12.7,24.5,68.3,66.2,14.6,12.8
491,=490,Chiba University,https://www.topuniversities.com/universities/chiba-university,"Chiba City, Japan",24.5,13484.0,771.0,1783,6.1,11.1,6.7,3.6,24.5,39.3,8.2,16,71.8
492,=490,Justus-Liebig-University Giessen,https://www.topuniversities.com/universities/justus-liebig-university-giessen,"Giessen, Germany",24.5,24945.0,2467.0,634,13.9,85.5,8.1,8.1,24.5,90.6,10.3,12.3,1.8
493,=494,The Catholic University of Korea,https://www.topuniversities.com/universities/catholic-university-korea,"Gyeonggi, South Korea",24.4,8968.0,542.0,1719,6.6,9.8,2.5,4.3,24.4,13.9,2.3,4.7,98.5
494,=494,Universidad ORT Uruguay,https://www.topuniversities.com/universities/universidad-ort-uruguay,"Montevideo, Uruguay",24.4,4285.0,66.0,614,1.9,1.2,16.3,70,24.4,2.2,20.5,11.7,83.2
495,=494,University of Granada,https://www.topuniversities.com/universities/university-granada,"Granada, Spain",24.4,49856.0,5611.0,2631,17.4,21.7,7.8,4.1,24.4,95.6,3.7,42.1,6.4
496,=497,Brandeis University,https://www.topuniversities.com/universities/brandeis-university,"Waltham, United States",24.3,5040.0,1225.0,600,68.5,22.3,3.8,55.1,24.3,20.3,19.4,9.6,55.7
497,=497,Jilin University,https://www.topuniversities.com/universities/jilin-university,"Changchun, China (Mainland)",24.3,68551.0,1570.0,7078,2.4,25.8,44.5,20.2,24.3,55.5,13.7,13.5,42
498,=499,Central South University,https://www.topuniversities.com/universities/central-south-university,"Changsha Shi, China (Mainland)",24.2,56344.0,2202.0,2784,3.9,96.3,2,11.9,24.2,51,8.2,7.3,5.5
499,=499,"University of Rome ""Tor Vergata""",https://www.topuniversities.com/universities/university-rome-tor-vergata,"Rome, Italy",24.2,21522.0,3241.0,1496,29.4,34.3,12.6,14.6,24.2,75.2,9.4,31.6,6.8
500,501-510,Western Sydney University,https://www.topuniversities.com/universities/western-sydney-university,"Milperra, Australia",-,33026.0,7217.0,1409,56.3,33.9,18.1,6.4,,84.6,100,16.5,4.7
501,501-510,Bar-Ilan University,https://www.topuniversities.com/universities/bar-ilan-university,"Ramat Gan, Israel",-,16809.0,547.0,987,3.2,77.9,6.5,20.3,,58.8,49.4,8.4,8.2
502,501-510,Colorado School of Mines,https://www.topuniversities.com/universities/colorado-school-mines,"Golden, United States",-,6303.0,556.0,538,11.5,67.7,9.2,24.5,,40.7,22.3,6.9,24.9
503,501-510,Kyungpook National University,https://www.topuniversities.com/universities/kyungpook-national-university,"Daegu, South Korea",-,18992.0,2079.0,2588,16.5,14.7,19.2,14.1,,54.9,8.1,14.2,60.8
