,rank,name,link,location,points,Total students,International students,Total faculty staff,International Students Ratio,Citations per Faculty,Employer Reputation,Employment Outcomes,Overall,International Research Network,International Faculty Ratio,Academic Reputation,Faculty Student Ratio
0,1,Massachusetts Institute of Technology (MIT),https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,"Cambridge, United States",100,11035.0,3627.0,2919,90,100,100,100,100,96.1,100,100,100
1,2,University of Cambridge,https://www.topuniversities.com/universities/university-cambridge,"Cambridge, United Kingdom",98.8,20871.0,7865.0,5735,96.3,92.3,100,100,98.8,99.5,100,100,100
2,3,Stanford University,https://www.topuniversities.com/universities/stanford-university,"Stanford, United States",98.5,14518.0,3318.0,4694,60.3,99.9,100,100,98.5,96.3,99.8,100,100
3,4,University of Oxford,https://www.topuniversities.com/universities/university-oxford,"Oxford, United Kingdom",98.4,21972.0,9024.0,6650,98.4,90,100,100,98.4,99.9,98.8,100,100
4,5,Harvard University,https://www.topuniversities.com/universities/harvard-university,"Cambridge, United States",97.6,21877.0,5379.0,4480,66.9,100,100,100,97.6,100,76.9,100,99.4
5,=6,California Institute of Technology (Caltech),https://www.topuniversities.com/universities/california-institute-technology-caltech,"Pasadena, United States",97,2240.0,683.0,969,85.1,100,87.1,98.8,97,73,99.8,96.5,100
6,=6,Imperial College London,https://www.topuniversities.com/universities/imperial-college-london,"London, United Kingdom",97,20191.0,12332.0,4099,100,86.5,99.7,88.8,97,98.1,100,98.3,99.5
7,8,UCL,https://www.topuniversities.com/universities/ucl,"London, United Kingdom",95,41194.0,25076.0,7251,100,77,98.6,90.3,95,100,99.2,99.4,97.6
8,9,ETH Zurich,https://www.topuniversities.com/universities/eth-zurich,"Zürich, Switzerland",93.6,20892.0,8420.0,2820,98,99.2,91.3,91.1,93.6,96.2,100,98.6,74.2
9,10,University of Chicago,https://www.topuniversities.com/universities/university-chicago,"Chicago, United States",93.2,16325.0,4442.0,2703,76,86.8,92.2,98.2,93.2,89.6,81.6,99.2,92.9
10,11,National University of Singapore (NUS),https://www.topuniversities.com/universities/national-university-singapore-nus,"Singapore, Singapore",92.7,30725.0,8129.0,4268,73.5,91.8,94.1,99.6,92.7,89.9,100,99.5,79.8
11,12,Peking University,https://www.topuniversities.com/universities/peking-university,"Beijing, China (Mainland)",91.3,31873.0,5436.0,5361,36.9,96.7,96.5,91.4,91.3,77.5,57.1,99.3,87.3
12,13,University of Pennsylvania,https://www.topuniversities.com/universities/university-pennsylvania,"Philadelphia, United States",90.6,22261.0,5426.0,5069,66.1,70.9,92.5,100,90.6,93.3,96.2,96.5,99.9
13,14,Tsinghua University,https://www.topuniversities.com/universities/tsinghua-university,"Beijing, China (Mainland)",90.1,36893.0,5162.0,6136,25.7,98.1,97.7,87.1,90.1,75.5,16.7,98.9,92.8
14,15,The University of Edinburgh,https://www.topuniversities.com/universities/university-edinburgh,"Edinburgh, United Kingdom",89.5,33861.0,15268.0,4865,99.5,70.1,97.2,54.3,89.5,98.7,98.9,98,81.1
15,=16,EPFL,https://www.topuniversities.com/universities/epfl,"Lausanne, Switzerland",89.2,10919.0,6837.0,1757,100,99.4,71.8,28,89.2,87.3,100,83.7,91.1
16,=16,Princeton University,https://www.topuniversities.com/universities/princeton-university,"Princeton, United States",89.2,7767.0,1813.0,1066,62.2,100,98.9,100,89.2,78.5,26,99.9,72.6
17,18,Yale University,https://www.topuniversities.com/universities/yale-university,"New Haven, United States",89,11283.0,3118.0,5527,77.3,51.5,100,100,89,92,89.2,99.9,100
18,19,"Nanyang Technological University, Singapore (NTU Singapore)",https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu-singapore,"Singapore, Singapore",88.4,25895.0,6900.0,3735,74.1,94.1,76.1,84.6,88.4,89.6,100,90.4,83.2
19,20,Cornell University,https://www.topuniversities.com/universities/cornell-university,"Ithaca, United States",87.2,23188.0,5015.0,2838,55.3,99.3,91.4,99.5,87.2,90,63.9,98.3,62.2
20,21,The University of Hong Kong,https://www.topuniversities.com/universities/university-hong-kong,"Hong Kong, Hong Kong SAR",87,19958.0,8353.0,2957,98.7,72.6,62.9,99,87,81.1,100,97.4,84.2
21,22,Columbia University,https://www.topuniversities.com/universities/columbia-university,"New York City, United States",86.7,25914.0,8686.0,7401,94.6,47.2,98.1,99.8,86.7,98.9,47.6,99.7,100
22,23,The University of Tokyo,https://www.topuniversities.com/universities/university-tokyo,"Tokyo, Japan",85.3,27826.0,4063.0,4534,27.8,73.3,99.7,97.8,85.3,89.5,10.4,100,91.9
23,24,Johns Hopkins University,https://www.topuniversities.com/universities/johns-hopkins-university,"Baltimore, United States",85.1,14891.0,4251.0,4969,82.9,87.3,47.2,95.3,85.1,97.7,63.6,87.9,100
24,25,University of Michigan-Ann Arbor,https://www.topuniversities.com/universities/university-michigan-ann-arbor,"Ann Arbor, United States",84.4,45651.0,7341.0,7132,33.1,62.5,91.3,96,84.4,96.3,71.2,98.5,88.9
25,26,Université PSL,https://www.topuniversities.com/universities/universite-psl,"Paris, France",83.8,14591.0,5536.0,3180,83.6,84.1,97,53.9,83.8,99.7,59.7,74.4,99.8
26,27,"University of California, Berkeley (UCB)",https://www.topuniversities.com/universities/university-california-berkeley-ucb,"Berkeley, United States",82.7,40468.0,8989.0,3405,57.7,99.9,100,99.1,82.7,96.7,93.3,100,23.9
27,28,The University of Manchester,https://www.topuniversities.com/universities/university-manchester,"Manchester, United Kingdom",82.3,41182.0,18345.0,4829,99.4,59,97.7,66.4,82.3,98.9,93.4,95.1,63.1
28,29,Seoul National University,https://www.topuniversities.com/universities/seoul-national-university,"Seoul, South Korea",82.2,24451.0,2014.0,3838,10.3,70.3,97.8,97.7,82.2,79.3,12.2,98.6,87
29,30,Australian National University (ANU),https://www.topuniversities.com/universities/australian-national-university-anu,"Canberra, Australia",82.1,17269.0,6152.0,1716,96,99.3,70.1,59.1,82.1,94.6,100,93.6,38
30,31,McGill University,https://www.topuniversities.com/universities/mcgill-university,"Montreal, Canada",81.9,30391.0,11082.0,3926,95.1,59.6,93.6,90,81.9,95.2,87.6,93.3,68.9
31,32,Northwestern University,https://www.topuniversities.com/universities/northwestern-university,"Evanston, United States",81.8,19273.0,3384.0,3579,38.8,84.2,71.9,98.4,81.8,89,40.5,84.4,98.3
32,33,The University of Melbourne,https://www.topuniversities.com/universities/university-melbourne,"Parkville, Australia",81.6,48157.0,22559.0,3668,99.8,95,94.9,91.1,81.6,97.6,93.1,98.6,17.9
33,=34,Fudan University,https://www.topuniversities.com/universities/fudan-university,"Shanghai, China (Mainland)",81.5,30385.0,5322.0,4771,38.7,70.4,93.5,65.7,81.5,70.6,89.3,83.6,89.3
34,=34,University of Toronto,https://www.topuniversities.com/universities/university-toronto,"Toronto, Canada",81.5,81016.0,30014.0,10191,95.7,43.5,98.3,94,81.5,96.7,95.8,99.6,65.6
35,36,Kyoto University,https://www.topuniversities.com/universities/kyoto-university,"Kyoto, Japan",81.4,22537.0,2905.0,3863,22.1,54.2,98.9,56.9,81.4,85.5,14.9,98.6,94.8
36,37,King's College London,https://www.topuniversities.com/universities/kings-college-london,"London, United Kingdom",81.2,33399.0,17592.0,4027,100,60.5,83.2,56.9,81.2,99.3,98.6,88.8,74.5
37,38,The Chinese University of Hong Kong (CUHK),https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk,"Hong Kong SAR, Hong Kong SAR",80.6,18300.0,6062.0,2217,90.5,92.9,49.6,79.4,80.6,74.9,100,87.3,60.9
38,39,New York University (NYU),https://www.topuniversities.com/universities/new-york-university-nyu,"New York City, United States",80.3,33331.0,11936.0,7386,94.4,28.9,99,99.7,80.3,92,31.3,95.9,98.1
39,40,The Hong Kong University of Science and Technology,https://www.topuniversities.com/universities/hong-kong-university-science-technology,"Hong Kong SAR, Hong Kong SAR",79.8,9581.0,3041.0,1176,87.9,98.6,50.1,91.2,79.8,56.2,100,82,62.6
40,41,The University of Sydney,https://www.topuniversities.com/universities/university-sydney,"Sydney, Australia",79.6,57354.0,35254.0,3297,100,92.1,91.7,90.8,79.6,97.3,99.3,96.2,15.6
41,=42,KAIST - Korea Advanced Institute of Science & Technology,https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology,"Daejeon, South Korea",79.3,9974.0,916.0,1289,12.3,97.7,85.8,63.2,79.3,65.2,23.1,88.1,68.9
42,=42,Zhejiang University,https://www.topuniversities.com/universities/zhejiang-university,"Hangzhou, China (Mainland)",79.3,48150.0,7463.0,5084,42.5,88.4,95.3,42.3,79.3,80.8,99.1,72.2,78.7
43,44,"University of California, Los Angeles (UCLA)",https://www.topuniversities.com/universities/university-california-los-angeles-ucla,"Los Angeles, United States",78.7,45771.0,6647.0,4532,27.5,85.9,99.9,98,78.7,96.3,45.1,100,37.7
44,45,The University of New South Wales (UNSW Sydney),https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney,"Sydney, Australia",78,37891.0,17748.0,3149,99.8,97.6,91.1,93,78,98.2,100,89,16.8
45,46,Shanghai Jiao Tong University,https://www.topuniversities.com/universities/shanghai-jiao-tong-university,"Shanghai, China (Mainland)",77.4,38056.0,6637.0,4492,38.4,97.1,90.2,57.8,77.4,73.9,40.9,82.7,57.7
46,47,University of British Columbia,https://www.topuniversities.com/universities/university-british-columbia,"Vancouver, Canada",77,51766.0,13917.0,6269,74.9,42.1,95.4,75.2,77,97.9,89,98,56.5
47,48,Institut Polytechnique de Paris,https://www.topuniversities.com/universities/institut-polytechnique-de-paris,"Palaiseau Cedex, France",76.8,5930.0,2417.0,1148,98.2,93.9,99.4,99.8,76.8,94.8,97,45.3,98.9
48,49,Technical University of Munich,https://www.topuniversities.com/universities/technical-university-munich,"Munich, Germany",76.4,34724.0,13001.0,6855,95,25.8,96.8,37.5,76.4,91.8,70.3,84,96.4
49,=50,Duke University,https://www.topuniversities.com/universities/duke-university,"Durham, United States",74.8,15969.0,3445.0,5608,55.1,41.2,79.8,98.6,74.8,95.5,20.2,86.1,100
50,=50,The University of Queensland,https://www.topuniversities.com/universities/university-queensland,"Brisbane City, Australia",74.8,42871.0,23372.0,3339,100,90.8,75.6,41.8,74.8,94.6,100,86.6,20.2
51,52,Carnegie Mellon University,https://www.topuniversities.com/universities/carnegie-mellon-university,"Pittsburgh, United States",74.6,12692.0,4786.0,1537,97.1,100,69,85.3,74.6,88.7,38.2,72.1,58.6
52,53,"University of California, San Diego (UCSD)",https://www.topuniversities.com/universities/university-california-san-diego-ucsd,"San Diego, United States",74.5,38568.0,8184.0,4476,53.7,77,61.6,21.2,74.5,96.9,54.9,90,55.6
53,54,City University of Hong Kong,https://www.topuniversities.com/universities/city-university-hong-kong, Hong Kong SAR,73.6,,,,100,98.1,29.4,57.2,73.6,55.1,100,57.3,88.6
54,55,Tokyo Institute of Technology (Tokyo Tech),https://www.topuniversities.com/universities/tokyo-institute-technology-tokyo-tech,"Tokyo, Japan",72.5,9928.0,1720.0,1431,37.9,65.9,93.4,33.6,72.5,55.8,36.1,74.1,81.5
55,56,The London School of Economics and Political Science (LSE),https://www.topuniversities.com/universities/london-school-economics-political-science-lse,"London, United Kingdom",72.3,12349.0,8958.0,1224,100,84.6,98.3,99.9,72.3,67.6,100,69,37.8
56,57,Monash University,https://www.topuniversities.com/universities/monash-university,"Melbourne, Australia",71.6,56357.0,31022.0,3644,100,79.3,80.8,56.8,71.6,95.1,100,87.6,11.2
57,58,University of Amsterdam,https://www.topuniversities.com/universities/university-amsterdam,"Amsterdam, Netherlands",71.1,36003.0,10464.0,2989,80.7,97.3,42.3,51.4,71.1,97.2,92.3,82.7,26.7
58,59,Ludwig-Maximilians-Universität München,https://www.topuniversities.com/universities/ludwig-maximilians-universitat-munchen,"Munich, Germany",70.4,34444.0,6042.0,4024,38.8,45.5,75.7,39.3,70.4,94.7,64.2,92.6,56
59,60,Sorbonne University,https://www.topuniversities.com/universities/sorbonne-university,"Paris, France",70.1,42298.0,9078.0,4543,54.7,86.3,41.7,60.9,70.1,99.6,28.3,90,40.6
60,=61,Delft University of Technology,https://www.topuniversities.com/universities/delft-university-technology,"Delft, Netherlands",70,21238.0,6358.0,2036,83.7,84.4,80.2,64,70,95.9,100,71.6,34.5
61,=61,University of Bristol,https://www.topuniversities.com/universities/university-bristol,"Bristol, United Kingdom",70,27627.0,8404.0,3230,84.9,55.3,84.1,59.6,70,93.9,90.5,74.4,58.3
62,63,Brown University,https://www.topuniversities.com/universities/brown-university,"Providence, United States",69.6,10308.0,2088.0,1477,49.8,89.9,54.2,99.6,69.6,73.6,82.8,57.6,80.8
63,64,The University of Warwick,https://www.topuniversities.com/universities/university-warwick,"Coventry, United Kingdom",69.1,25291.0,10987.0,2535,99.2,63.1,89.3,62,69.1,93.6,98.1,71.8,43.1
64,=65,Universität Heidelberg,https://www.topuniversities.com/universities/universitat-heidelberg,"69117 Heidelberg,, Germany",69,19315.0,3793.0,4186,47.2,41.1,40.3,22.8,69,95.2,51.3,78.7,99.8
65,=65,The Hong Kong Polytechnic University,https://www.topuniversities.com/universities/ivanovo,"Hong Kong SAR, Hong Kong SAR",69,21207.0,6103.0,2971,80.7,68.9,37,49.2,69,74.2,100,66.1,78.4
66,67,Universidad de Buenos Aires (UBA),https://www.topuniversities.com/universities/universidad-de-buenos-aires-uba,"Buenos Aires, Argentina",68.9,117449.0,29516.0,16103,68.9,1.8,94,34.3,68.9,63,63.7,92.3,76
67,68,Osaka University,https://www.topuniversities.com/universities/osaka-university,"Osaka City, Japan",68.2,22753.0,2296.0,2132,14.4,59.1,85.4,21,68.2,75.2,25,80.2,67.4
68,69,Université Paris-Saclay,https://www.topuniversities.com/universities/universite-paris-saclay,"Gif-sur-Yvette,, France",68.1,29592.0,7028.0,7368,59.1,49.5,99.2,7.8,68.1,97.1,43.7,57.2,99.7
69,70,Universiti Malaya (UM),https://www.topuniversities.com/universities/universiti-malaya-um,"Kuala Lumpur, Malaysia",67.9,19157.0,4053.0,2403,53,39.4,94.9,41.9,67.9,91.8,43.6,79.6,67.8
70,71,Pohang University of Science And Technology (POSTECH),https://www.topuniversities.com/universities/pohang-university-science-technology-postech,"Pohang , South Korea",67.7,3146.0,92.0,762,2.9,98,69.4,54.8,67.7,30.9,34.7,47.4,100
71,72,University of Texas at Austin,https://www.topuniversities.com/universities/university-texas-austin,"Austin, United States",67.4,48128.0,4074.0,2974,10.8,90.9,85.2,71.1,67.4,90.9,7.6,93.7,9.8
72,73,Yonsei University,https://www.topuniversities.com/universities/yonsei-university,"Seoul, South Korea",67,24442.0,5046.0,3803,51.3,28.4,95.5,68.8,67,63.5,19.4,75.5,88.6
73,74,Korea University,https://www.topuniversities.com/universities/korea-university,"Seoul, South Korea",66.9,25306.0,4052.0,3828,32.9,29.5,93.9,71.8,66.9,63.1,14.7,79.3,86.1
74,75,Lomonosov Moscow State University,https://www.topuniversities.com/universities/lomonosov-moscow-state-university,"Moscow, Russia",66.8,30385.0,10341.0,6572,91.9,5.3,77,91.2,66.8,87.5,19.2,80.5,99.8
75,76,KU Leuven,https://www.topuniversities.com/universities/ku-leuven,"Leuven, Belgium",66,49513.0,9243.0,2800,43.3,92.7,53,44.8,66,99.1,91.9,83.8,7.7
76,77,National Taiwan University (NTU),https://www.topuniversities.com/universities/national-taiwan-university-ntu,"Taipei City, Taiwan",65.7,31732.0,5058.0,2992,32.6,49.7,92.6,96.7,65.7,75,19,92.3,33.4
77,78,University of Southampton,https://www.topuniversities.com/universities/university-southampton,"Southampton, United Kingdom",65,20057.0,7090.0,2483,93.8,82.7,56.6,42.8,65,96.7,96.1,50.7,63.3
78,79,Tohoku University,https://www.topuniversities.com/universities/tohoku-university,"Sendai City, Japan",64.9,17676.0,1928.0,3412,16.4,34.2,78.1,18.7,64.9,66.8,14.1,71.8,98.6
79,80,University of Washington,https://www.topuniversities.com/universities/university-washington,"Seattle, United States",64.7,43692.0,7352.0,2796,36,100,48.6,84.1,64.7,97.6,32.5,84.8,10.8
80,81,University of Glasgow,https://www.topuniversities.com/universities/university-glasgow,"Glasgow, United Kingdom",64.6,32330.0,13848.0,3554,98.9,34.7,75.1,29.4,64.6,94.7,95.5,75.1,50.5
81,82,University of Copenhagen,https://www.topuniversities.com/universities/university-copenhagen,"Copenhagen, Denmark",64.1,30326.0,5382.0,7293,24.5,26,36.6,58.2,64.1,99.1,91.3,72.8,100
82,=83,University of Wisconsin-Madison,https://www.topuniversities.com/universities/university-wisconsin-madison,"Madison, United States",63.7,40700.0,5458.0,5332,23.8,41.9,48.1,84.6,63.7,93.2,37.7,82.4,70.6
83,=83,University of Zurich,https://www.topuniversities.com/universities/university-zurich,"Zürich, Switzerland",63.7,21842.0,4494.0,3761,55.5,49.3,39.2,77.8,63.7,93.5,100,58,93.3
84,85,University of Illinois at Urbana-Champaign,https://www.topuniversities.com/universities/university-illinois-urbana-champaign,"Champaign, United States",63.6,46173.0,8969.0,2818,46.4,88.7,60.9,70,63.6,92.2,20.3,85.6,9.5
85,86,University of Leeds,https://www.topuniversities.com/universities/university-leeds,"Leeds, United Kingdom",62.8,34422.0,10710.0,3539,86.5,47.8,78.4,42.9,62.8,97.8,86.3,70.2,41.6
86,87,The University of Auckland,https://www.topuniversities.com/universities/university-auckland,"Auckland, New Zealand",62.7,27805.0,9541.0,2286,92.4,54.1,48.3,79.2,62.7,87.2,99.9,81.5,22.4
87,88,Georgia Institute of Technology,https://www.topuniversities.com/universities/georgia-institute-technology,"Atlanta, United States",62.3,26081.0,5631.0,3828,54.8,95.5,77,63.5,62.3,78.5,62.9,67.7,11.1
88,89,KTH Royal Institute of Technology,https://www.topuniversities.com/universities/kth-royal-institute-technology,"Stockholm, Sweden",62.1,13198.0,3365.0,1721,70.2,76.4,58.2,81.4,62.1,89.9,97.1,45.8,70
89,90,The University of Western Australia,https://www.topuniversities.com/universities/university-western-australia,"Perth, Australia",61.7,18532.0,9013.0,1539,99.9,98.9,49.9,65,61.7,98.2,100,55.6,21.8
90,91,University of Birmingham,https://www.topuniversities.com/universities/university-birmingham,"Birmingham, United Kingdom",61.1,33430.0,10533.0,3518,87.4,45.9,74.7,37.6,61.1,95.1,91,66,44.1
91,92,Durham University,https://www.topuniversities.com/universities/durham-university,"Durham, United Kingdom",60.9,19922.0,6255.0,1837,87.2,65.7,89.2,43.6,60.9,89.1,97.2,57.9,31
92,93,Pennsylvania State University,https://www.topuniversities.com/universities/pennsylvania-state-university,"University Park, United States",60.8,44827.0,6943.0,4207,31,67.7,69.8,44.8,60.8,96.8,25.3,76.7,32.6
93,94,University of Science and Technology of China,https://www.topuniversities.com/universities/university-science-technology-china,"Hefei, China (Mainland)",60.7,19280.0,1038.0,2993,5.7,99.9,12.4,37.6,60.7,67,18.7,51.6,86.6
94,95,Lund University,https://www.topuniversities.com/universities/lund-university,"Lund, Sweden",60.1,30184.0,8297.0,3380,76.6,41.4,50.9,64.9,60.1,97.6,95.8,68.8,51.3
95,=96,The University of Sheffield,https://www.topuniversities.com/universities/university-sheffield,"Sheffield, United Kingdom",59.5,28124.0,11193.0,3366,97.8,46.9,53.5,33.7,59.5,94.7,85.3,58.7,59.4
96,=96,University of St Andrews,https://www.topuniversities.com/universities/university-st-andrews,"St. Andrews, United Kingdom",59.5,10485.0,4818.0,1272,99.7,58.9,67.6,44.1,59.5,83.4,98.8,46.2,61.1
97,98,"Trinity College Dublin, The University of Dublin",https://www.topuniversities.com/universities/trinity-college-dublin-university-dublin,"Dublin, Ireland",59.1,16019.0,5593.0,1383,93.3,60.2,48.2,97.9,59.1,87.3,99.8,67.9,25.7
98,99,Sungkyunkwan University (SKKU),https://www.topuniversities.com/universities/sungkyunkwan-universityskku,"Suwon, South Korea",58.9,22397.0,3923.0,3307,38.7,37.8,72.7,33.9,58.9,58.8,18.9,60.2,83.9
99,100,Rice University,https://www.topuniversities.com/universities/rice-university,"Houston, United States",58.8,7956.0,2765.0,1014,92.6,86.7,26.1,70.7,58.8,57.2,90,38.8,69.5
100,101,University of Oslo,https://www.topuniversities.com/universities/university-oslo,"Oslo, Norway",58.7,20108.0,3607.0,2600,27.5,62.7,14.5,65.7,58.7,97.9,86.2,54.9,83.8
101,=102,"University of California, Davis",https://www.topuniversities.com/universities/university-california-davis,"Davis, United States",58.2,34934.0,8842.0,3050,70.2,68.7,51,25,58.2,90.2,84.7,64.8,27.1
102,=102,University of North Carolina at Chapel Hill,https://www.topuniversities.com/universities/university-north-carolina-chapel-hill,"Chapel Hill, United States",58.2,33018.0,2666.0,4713,10,46.6,44.7,67.4,58.2,90,27.2,65.5,80.4
103,=104,Technical University of Denmark,https://www.topuniversities.com/universities/technical-university-denmark,"Kongens Lyngby, Denmark",58,9598.0,2650.0,2251,77.2,70.8,23.4,68.3,58,91.2,100,30.9,100
104,=104,Universidad Nacional Autónoma de México (UNAM),https://www.topuniversities.com/universities/universidad-nacional-autonoma-de-mexico-unam,"Mexico City, Mexico",58,156596.0,3847.0,16351,2.6,2.9,95.1,61.5,58,91.3,9.3,96,43.2
105,=106,King Abdulaziz University (KAU),https://www.topuniversities.com/universities/king-abdulaziz-university-kau,"Jeddah, Saudi Arabia",57.8,32346.0,6915.0,4092,54.3,50.6,70.7,10.5,57.8,93.4,99,48.4,66.3
106,=106,University of Helsinki,https://www.topuniversities.com/universities/university-helsinki,"Helsinki, Finland",57.8,23059.0,1266.0,2922,5.8,49.8,44.6,62.5,57.8,95.2,67.9,65.3,66.5
107,108,Boston University,https://www.topuniversities.com/universities/boston-university,"Boston, United States",57.2,25448.0,7577.0,2589,83.3,61.6,57.2,80.5,57.2,86.9,33.7,62.3,40.4
108,109,The University of Adelaide,https://www.topuniversities.com/universities/university-adelaide,"Adelaide, Australia",57,23050.0,10945.0,1649,99.8,94.5,35.2,40.2,57,93.1,99.8,52.3,17.2
109,110,University of Alberta,https://www.topuniversities.com/universities/university-alberta,"Edmonton, Canada",56.9,30547.0,8406.0,3493,76.9,53.9,48.9,41,56.9,96.1,95.3,55.1,51.5
110,111,École Normale Supérieure de Lyon,https://www.topuniversities.com/universities/ecole-normale-superieure-de-lyon,"Lyon, France",56.6,2194.0,247.0,369,17.4,96.4,12.6,44.3,56.6,70.1,66,31.8,94.3
111,=112,Nagoya University,https://www.topuniversities.com/universities/nagoya-university,"Nagoya, Japan",56.3,15658.0,1908.0,2504,20,33.9,54.3,35.1,56.3,66.5,15.8,59.8,90.6
112,=112,Utrecht University,https://www.topuniversities.com/universities/utrecht-university,"Utrecht, Netherlands",56.3,33748.0,4454.0,3254,23.1,79.6,26.6,42.5,56.3,94.7,58.3,65.8,35.1
113,114,University of Nottingham,https://www.topuniversities.com/universities/university-nottingham,"Nottingham, United Kingdom",56.2,33984.0,9324.0,3338,76.7,45.2,75.3,32.5,56.2,98.1,90.3,59,36.9
114,115,Universidade de São Paulo,https://www.topuniversities.com/universities/universidade-de-sao-paulo,"São Paulo, Brazil",56.1,65027.0,1693.0,4910,2.7,40.6,69.9,78.9,56.1,94.7,7.6,91.8,17.4
115,=116,Aalto University,https://www.topuniversities.com/universities/aalto-university,"Espoo, Finland",55.9,13149.0,2199.0,1387,35.6,89.3,45.8,79.8,55.9,90.3,94.9,44.5,44.4
116,=116,Université de Montréal,https://www.topuniversities.com/universities/universite-de-montreal,"Montreal, Canada",55.9,39775.0,8443.0,5462,53.7,27.6,47.2,19.3,55.9,86,89.5,57.4,76.2
117,=118,Freie Universitaet Berlin,https://www.topuniversities.com/universities/freie-universitaet-berlin,"Berlin, Germany",55.8,24567.0,4510.0,1405,42,63.5,44.9,33.3,55.8,91.9,63,80.7,4
118,=118,Washington University in St. Louis,https://www.topuniversities.com/universities/washington-university-st-louis,"St. Louis, United States",55.8,13854.0,2987.0,3219,55.1,55.6,15.3,71,55.8,84.9,82.4,40.1,99.9
119,120,University of Bern,https://www.topuniversities.com/universities/university-bern,"Bern, Switzerland",55.7,9688.0,1776.0,1212,41.9,98.3,35.5,18.4,55.7,95.3,100,30.3,64.9
120,121,Pontificia Universidad Católica de Chile (UC),https://www.topuniversities.com/universities/pontificia-universidad-cat%C3%B3lica-de-chile-uc,"Santiago, Chile",54.9,29291.0,1133.0,2406,3.9,12.5,98.1,90.4,54.9,82.7,17.9,91.8,22.3
121,122,Newcastle University,https://www.topuniversities.com/universities/newcastle-university,"Newcastle upon Tyne, United Kingdom",54.8,26602.0,7205.0,2671,75.6,58.9,83.8,14.9,54.8,96.9,84.8,46.2,39.1
122,123,Universiti Putra Malaysia (UPM),https://www.topuniversities.com/universities/universiti-putra-malaysia-upm,"Seri Kembangan, Malaysia",54.7,16403.0,5949.0,2238,92.7,19.5,59.2,6.2,54.7,85,44.2,56.8,75.4
123,124,Wageningen University & Research,https://www.topuniversities.com/universities/wageningen-university-research,"Wageningen, Netherlands",54.6,15102.0,4131.0,2767,76.4,48.2,17,18.8,54.6,96.9,50.5,42.8,97.4
124,=125,Chalmers University of Technology,https://www.topuniversities.com/universities/chalmers-university-technology,"Gothenburg, Sweden",54.5,10103.0,2641.0,1147,72.4,81.6,60.7,22.5,54.5,84.1,100,27.9,60.5
125,=125,Queen Mary University of London,https://www.topuniversities.com/universities/queen-mary-university-london,"London, United Kingdom",54.5,22463.0,10039.0,2305,99.5,62.6,36.2,13.8,54.5,93.7,99.7,48.9,42.8
126,=125,University of Geneva,https://www.topuniversities.com/universities/university-geneva,"Geneva, Switzerland",54.5,17744.0,6871.0,1814,96.7,74,20,45.9,54.5,92.8,100,46.5,44.8
127,128,Uppsala University,https://www.topuniversities.com/universities/uppsala-university,"Uppsala, Sweden",54.3,24749.0,7383.0,2998,74.7,43.4,27.4,48.5,54.3,97.1,95.3,63.6,43.4
128,=129,Purdue University,https://www.topuniversities.com/universities/purdue-university,"West Lafayette, United States",54.2,40335.0,8034.0,2622,48.4,70.9,73.1,63.8,54.2,92.2,51.7,62.7,11.7
129,=129,Universiti Kebangsaan Malaysia (UKM),https://www.topuniversities.com/universities/universiti-kebangsaan-malaysia-ukm,"Bangi, Malaysia",54.2,17093.0,3060.0,2837,38.7,9.4,62,5.6,54.2,76.5,42.8,57.9,93.1
130,=131,Humboldt-Universität zu Berlin,https://www.topuniversities.com/universities/humboldt-universitat-zu-berlin,"Berlin, Germany",54.1,33999.0,5535.0,2008,33.9,29.5,55.6,26,54.1,91.4,58.1,90.1,8.7
131,=131,Leiden University,https://www.topuniversities.com/universities/leiden-university,"Leiden, Netherlands",54.1,33767.0,6631.0,2769,47.2,65.8,23.4,30,54.1,94.7,85.1,68.1,22.2
132,133,Nanjing University,https://www.topuniversities.com/universities/nanjing-university,"Nanjing, China (Mainland)",53.9,35400.0,2513.0,3396,8.2,96.1,17.7,29.6,53.9,74.9,54,57.7,32.3
133,134,University of Southern California,https://www.topuniversities.com/universities/university-southern-california,"Los Angeles, United States",53.7,44156.0,12224.0,3165,77.4,71.7,59.1,94.8,53.7,89.2,36.1,54.6,28.4
134,135,Kyushu University,https://www.topuniversities.com/universities/kyushu-university,"Fukuoka City, Japan",53.5,18585.0,2305.0,2773,20.7,26.8,65,22.4,53.5,66.1,15.1,56.6,84.9
135,136,University of Basel,https://www.topuniversities.com/universities/university-basel,"Basel, Switzerland",53.3,8632.0,2596.0,1057,84.1,95.7,26.8,52.7,53.3,90.1,100,28,53.8
136,137,University of Technology Sydney,https://www.topuniversities.com/universities/university-technology-sydney,"Haymarket, Australia",53.2,23667.0,9664.0,1559,97.6,90.4,66.1,39.9,53.2,89.5,94.6,41.8,9.6
137,138,Eindhoven University of Technology,https://www.topuniversities.com/universities/eindhoven-university-technology,"Eindhoven, Netherlands",52.7,10873.0,2532.0,1210,56.9,78.2,72.8,45.1,52.7,72.3,100,28.9,50.5
